Quellzeile,Autor/Herausgeber,Erscheinungsjahr,Titel (Auflage),Ort,Vermerk im Buch,Standort (Raum),Regal,Fach,Anzahl des Exemplares in Thulb,Seitenanzahl,Teil von (Buchreihe etc)
104,"Fischer, Hermann",1908,Einige Winke für Forschungen über schwäbische Mundarten,Stuttgart,FSU Jena Sektion Sprachwissenschaft Fachbereich Deutsch Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,x,18,
105,"Fischer, Rudolf",1954,Die slawischen Sprachdenkmäler Deutschlands,Cislo,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,x,15,Jahresschrift des Instituts für sorbische Volksforschung
106,"Foerste, William",1960,Einheit und Vielfalt der niederdeutschen Mundarten,Münster,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,x,16,
107,"Forsthoff, Ernst",1940,Recht und Sprache - Prolegomena zu einer richterlichen Hermeneutik,Halle (Saale),Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,"zweimal verfügbar (8 Hist.lit.VII,49/600 :17.1)(JUR:AA:VIIa:48::1940)",47,Schriften der Königsberger Gelehrten Gesellschaft Heft 1
108,"Foerste, William",1966,Niederdeutsches Wort - Kleine Beiträge zur niederdeutschen Mundart- und Namenkunde,Münster,FSU Jena Sektion Sprachwissenschaft Fachbereich Deutsch Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,x,55,Heft 6
109,"Franke, C.",,Der obersächsische Dialekt,,Landesstelle für thüringische Mundartenforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,x,43,
110,"Frank, Julius",1898,Die Frankenhäuser Mundart,Halle (Saale),FSU Jena Sektion Sprachwissenschaft Fachbereich Deutsch Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,einmal verfügbar (2005 SA 2694),65,
111,"Fleischer, Fritz",1913,Studien zur Sprachgeographie der Gascogne,Halle (Saale),Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,"zweimal verfügbar, auch als E-Book in verschiedenen Auflagen (ROM:HG:900:::1913)(8 Gl.V,37/2 :44)",125 + Karten,Beihefte zur Zeitschrift für romanische Philologie Heft 44
112,"Frings, Theodor",1966,Germania Romana I,Halle (Saale),Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,zweimal verfügbar (GER:MC:1000:::1966/1)(8 R 4224 :19.1),261 + 21 Karten,Mitteldeutsche Studien hrsg. von Frings und Grosse 19/1
113,"Frings, Theodor und Müller, Gertraud",1968,Germania Romana II,Halle (Saale),Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,x,678,Mitteldeutsche Studien hrsg. von Frings und Grosse 19/2
114,"von Freyberg, Bruno",1936,Thüringen - geologische Gesichte und Landschaftsbild,Erlangen,Landesstelle für thüringische Mundartenforschung,E 006 Handbibliothek Dialektologie,links vorn,3. von oben,als E-Book verfügbar,160,
115,"Frings, Theodor",1949,Antike und Christentum an der Wiege der deutschen Sprache,Berlin,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,3. von oben,"viermal verfügbar, auch als E-Book (GER:MC:1000:::1949)(8 R 99B :97.1)(KPH:PB:::F914:1949)(8 Gl.IX,2/581)",37,
116,"Frings, Theodor",1913,Studien zur Dialektgeographie des Niederrheins zwischen Düsseldorf und Aachen,Marburg,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,3. von oben,"einmal verfügbar (8 Gl.IX,110/80 :5)",244 + eine Karte,Deutsche Dialektgeographie Heft V Hrsg. Ferdinand Wrede
117,"Frings, Theodor",1916,Die rheinische Accentuierung - Vorstudie zu einer Grammatik der rheinischen Mundarten,Marburg,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,3. von oben,"einmal verfügbar (8 Gl.IX,110/80 :14)",98,Deutsche Dialektgeographie Heft XIV Hrsg. Ferdinand Wrede
118,,1996,Sitzungen des Gemeinderates zu Jena,Jena,Stadtmuseum Jena,E 006 Handbibliothek Dialektologie,links vorn,3. von oben,x,48,
119,"Frings, Theodor",1950,Grundlegung einer Geschichte der deutschen Sprache (2. Aufl.),Halle (Saale),Landesstelle für thüringische Mundartenforschung,E 006 Handbibliothek Dialektologie,links vorn,3. von oben,"viermal verfügbar, auch als E-Book verfügbar, u.a. auch 2. Aufl. (GER:ME:1000:Fri::1950)(2001 A 267)",127,
120,"Frings, Theodor",1955,Zur Grundlegung einer Geschichte der deutschen Sprache - 1 Territorium und Sprache Stamm und Sprache,Halle (Saale),Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,3. von oben,einmal verfügbar (2017 NA 8657 :1),139,
121,"Frings, Theodor (Hrsg.) von Braun, Hermann",1938,Wortgeographie des historischen Egerlandes ,Halle (Saale),J85 FSU Jena Sektion Sprachwissenschaft Wissenschaftsbereich Deutsch Abt. Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,3. von oben,"einmal verfügbar (8 Gl.IX,110/135 :16)",228,Zeitschrift für Mundartforschung Beiheft 16
122,"Frings, Theodor",1910,Studien zur Dialektgeographie des Niderrheins zwischen Düsseldorf und Aachen (Teildruck),Marburg,J85 FSU Jena Sektion Sprachwissenschaft Wissenschaftsbereich Deutsch Abt. Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,3. von oben,x,67,
123,"Frings, Theodor",1936,Die Grundlagen des Meißnischen Deutsch,Halle (Saale),Landesstelle für thüringische Mundartenforschung,E 006 Handbibliothek Dialektologie,links vorn,3. von oben,"zweimal verfügbar ( GER:MJ:2000:::1936) (8 Gl.IX,224(32))",24 + Karten,
124,"Frings, Theodor",1944,Die Stellung der Niederlande im Aufbau des Germanischen,Halle (Saale),Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,3. von oben,"einmal verfügbar (8 Belg.I,4/8(32))",67,
125,"Frings, Theodor",1963,"Germania Romana und Romania Germanica zwischen Mittelmeer, Rhein und Elbe",Berlin,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,3. von oben,"zweimal verfügbar (GER:MG:7500:::1963)(8 R 99B :108,5)",43,
126,"Frings, Theodor et al",1936,Kulturräume und Kulturströmungen im mitteldeutschen Osten (Text),Halle (Saale),Landesstelle für thüringische Mundartenforschung,E 006 Handbibliothek Dialektologie,links vorn,3. von oben,"zweimal verfügbar (VKD:AH:24045:Ebe:(1)1936)(8 Hist.un.VIII,134/33 :1)",349,
127,"Frings, Theodor et al",1936,Kulturräume und Kulturströmungen im mitteldeutschen Osten (Karten),Halle (Saale),Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,3. von oben,"zweimal verfügbar (VKD:AH:24045:Ebe:(2)::1936) (8 Hist.un.VIII,134/33 :2)",97 Karten,
128,"Fuchs, Stefan M.",1975,Die Mundart des Kantons Schwyz,Zürich,Universitätsbibliothek Jena,E 006 Handbibliothek Dialektologie,links vorn,3. von oben,x,32,
129,"Frisch, Peter",1911,Studien zur Grenze des Mosel- und Rheinfränkischen im Süden des Regierungsbezirks Trier,Bonn,J85 FSU Jena Sektion Sprachwissenschaft Wissenschaftsbereich Deutsch Abt. Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,3. von oben,als E-Book verfügbar,57,
130,Abteilung Volksbildung Schmalkalden,1955,Materialien für den Heimatkundeunterricht Bezirk Suhl Kreis Schmalkalden,Schmalkalden,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,3. von oben,x,161,
131,"Gabka, Kurt",1967,Theorien zur Darstellung eines Wortschatzes. Mit einer Kritik der Wortfeldtheorie,Halle (Saale),Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,3. von oben,einmal verfügbar ,62,
132,"Gardiner, Alan",1932,The Theory of speech and language,Oxford,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,3. von oben,einmal verfügbar,348,
133,"Gamillscheg, E. und Spitzer, L.",1915,"Die Bezeichnungen der ""Klette"" im Galloromanischen",Halle (Saale),Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,3. von oben,einmal verfügbar,73,
134,"Gamillscheg, Ernst",1912,Die romanischen Elemente in der deutschen Mundart von Lusern,Halle (Saale),Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,3. von oben,"einmal verfügbar, auch als E-Book",53,
135,"Gebhardt, August und Bremer, Otto",1907,Grammatik der Nürnberger Mundart,Leipzig,Landesstelle für thüringische Mundartenforschung,E 006 Handbibliothek Dialektologie,links vorn,3. von oben,zweimal verfügbar,392,Sammlung kurzer Grammatiken deutscher Mundarten Hrsg. Otto Bremer Band VII
136,"Gernentz, Hans Joachim",1980,"Niederdeutsch - gestern und heute, Beiträge zur Sprachsituation in den Nordbezirken der Deutschen Demokratischen Republik in Geschichte und Gegenwart",Rostock,J53 Universitätsbibliothek Jena Zweigstelle Literatur- und Kunstwissenschaft,E 006 Handbibliothek Dialektologie,links vorn,3. von oben,einmal verfügbar,331,
137,"Gernentz, Hans Joachim",1964,"Niederdeutsch - gestern und heute, Beiträge zur Sprachsituation in den nördlichen Bezirken der Deutschen Demokratischen Republik in Geschihcte und Gegenwart",Berlin,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,3. von oben,als E-Book verfügbar,202,
138,"Gipper, Helmut",1963,Bausteine zur Sprachinhaltsforschung,Düsseldorf,Arbeitsstelle Thüringisches Wörterbuch,E 006 Handbibliothek Dialektologie,links vorn,3. von oben,zweimal verfügbar,544,Sprache und Gemeinschaft Studienband 1
139,Buch auf Russisch,1962,Vergleichende Grammatik germanischer Sprachen ,Moskau,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,3. von oben,einmal verfügbar,204,
140,"Ghosh, Samir K. ",1972,"Man, Language and Society",Paris,J85 FSU Jena Sektion Sprachwissenschaft Wissenschaftsbereich Deutsch Abt. Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,3. von oben,"einmal verfügbar, auch als E-Book",264,
141,"Giernoth, Josef",1917,Die Sprache des Kuhländchens nach der Mundart von Kunewald,Breslau,J85 FSU Jena Sektion Sprachwissenschaft Wissenschaftsbereich Deutsch Abt. Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,3. von oben,x,28,
142,"Glattauer, Walter",1978,Strukturelle Lautgeographie der Mundarten im süd-östlichen Niederösterreich,Wien,FSU Jena Sektion Sprachwissenschaft Wissenschaftsbereich Deutsch Abt. Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,3. von oben,x,221 + Karten,Schriften zur deutschen Sprache in Österreich Band 1
143,"Gleissner, Käthe",1935,"Urkunde und Mundart auf Grund der Urkundensprache der Vögte von Weida, Gera und Plauen",Halle (Saale),Landesstelle für thüringische Mundartenforschung,E 006 Handbibliothek Dialektologie,links vorn,3. von oben,einmal verfügbar,111,Mitteldeutsche Studien Hrsg. Theodor Frings
144,"Glöckner, Karl",1913,Die Mundarten der Rhön,Fulda,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,3. von oben,einmal verfügbar,119,
145,"Göhring, Ludwig",1937,Volkstümliche Redensarten und Ausdrücke,München,Landesstelle für thüringische Mundartenforschung,E 006 Handbibliothek Dialektologie,links vorn,3. von oben,einmal verfügbar ,309,
146,"Goossens, Jan",1969,Strukturelle Sprachgeographie - Eine Einführung in Methodik und Ergebnisse,Heidelberg,FSU Jena Sektion Sprachwissenschaft Fachbereich Deutsch Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,3. von oben,einmal verfügbar,148,
147,"Guchmann, M. M.",1969,Der Weg zur deutschen Nationalsprache Teil 2,Berlin,Sektion Sprachwissenschaft Fachbereich Deutsch Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,3. von oben,dreimal verfügbar,212,
148,"Guchmann, M. M.",1964,Der Weg zur deutschen Nationalsprache Teil 1,Berlin,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,3. von oben,zweimal verfügbar,156,
149,"Gutenbrunner, Siegfried",1951,Historische Laut- und Formenlehre des Altisländischen,Heidelberg,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,3. von oben,einmal verfügbar,172,
150,"Günther, L.",1905,Das Rotwelsch des deutschen Gauners,Straßburg,J85 FSU Jena Sektion Sprachwissenschaft Wissenschaftsbereich Deutsch Abt. Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,3. von oben,als E-Book,101,
151,"Günther, L.",1919,Das Rotwelsch des deutschen Gauners,Leipzig,Landesstelle für thüringische Mundartenforschung,E 006 Handbibliothek Dialektologie,links vorn,3. von oben,einmal verfügbar,238,
152,"Sütterlin, Ludwig",1918,Die deutsche Sprache der Gegenwart,Leipzig,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,3. von oben,in verschiedenen Auflagen verfügbar ,451,
153,"Hachmann, Rolf et al",1962,Völker zwischen Germanen und Kelten,Neumünster,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,3. von oben,einmal verfügbar,"144 + 11 Tafeln,16 Karten",
154,"Hain, Mathilde",1951,Sprichwort und Volkssprache - Eine volkskundlich-soziologische Dorfuntersuchung,Gießen,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,3. von oben,einmal verfügbar,131,
155,"Hager, Frithjof",1977,Die Sache der Sprache,Stuttgart,Universitätsbibliothek Jena,E 006 Handbibliothek Dialektologie,links vorn,3. von oben,x,246,
156,"Haltenhoff, Julius",1904,Zur Geschichte des nhd. Adjektivsuffixes -icht und seiner Verwandten,Guben,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,3. von oben,x,89,
157,"Hanenberg, Albert",1914,Studien zur niederrheinischen Dialektgeographie zwischen Nymegen und Ürdingen,Marburg,J85 FSU Jena Sektion Sprachwissenschaft Wissenschaftsbereich Deutsch Abt. Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,3. von oben,in einer Zeitschrift verfügbar,100,
158,"Hanke, Lothar",1913,Die Wortstellung im Schlesischen,Breslau,FSU Jena Sektion Sprachwissenschaft Wissenschaftsbereich Deutsch Abt. Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,3. von oben,zweimal verfügbar  ,112,
159,"Hathaway, Luise",1979,Der Mundartwandel in Imst in Tirol zwischen 1897 und 1973,Wien,FSU Jena Sektion Sprachwissenschaft Wissenschaftsbereich Deutsch Abt. Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,3. von oben,x,165,Schriften zur deutschen Sprache in Österreich Band 3
160,"Hauffen, Adolf",1895,"Die deutsche Sprachinsel Gottschee. Geschichte und Mundart, Lebensverhältnisse, Sitten und Gebräuche, Sagen, Märchen und Lieder",Graz,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,4. von oben,einmal verfügbar ,465,"Quellen und Forschungen zur Geschichte, Literatur und Sprache Österreichs und seiner Kronländer"
161,"Havers, Wilhelm",1931,Handbuch der erklärenden Syntax. Ein Versuch zur Erforschung der Bedingungen und Triebkräfte in Syntax und Stilistik,Heidelberg,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,4. von oben,einmal verfügbar,292,Indogermanische Bibliothek Hrsg. Hirt und Streitberg
162,"Heffels, Karl",1935,Zur Wortgeographie der Haustier-Namen zwischen Benrather und Ürdinger Linie,Düsseldorf,J85 FSU Jena Sektion Sprachwissenschaft Wissenschaftsbereich Deutsch Abt. Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,4. von oben,einmal verfügbar,75,
163,"Heissel, Sebastian",1935,Die Mundart von Friedingen und Umgebung nach Lauten und Flexion,Jena,J85 FSU Jena Sektion Sprachwissenschaft Wissenschaftsbereich Deutsch Abt. Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,4. von oben,x,44,
164,"Hentrich, Konrad",1905,Die Vokale der Mundart von Leinefelde,Greifswald,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,4. von oben,x,unvollständig,
165,,1921,Internationales Zentralblatt für experimentelle Phonetik Vox,Berlin,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,4. von oben,einmal verfügbar,S.160-175,
166,"Heilig, Otto",1898,Grammatik der ostfränkischen Mundart des Taubergrundes und der Nachbarmundarten,Leipzig,Landesstelle für thüringische Mundartenforschung,E 006 Handbibliothek Dialektologie,links vorn,4. von oben,zweimal verfügbar,239+Karten,Sammlung kurzer Grammatiken deutscher Mundarten Hrsg. Otto Bremer Band V
167,"Heinrichs, Werner",1978,Bergisch Platt. Versuch einer Bestandsaufnahme,Burscheid,Arbeitsstelle Thüringisches Wörterbuch,E 006 Handbibliothek Dialektologie,links vorn,4. von oben,x,162+Karte,
168,"Henzen, Walter",1954,Schriftsprache und Mundarten. Ein Überblick über ihr Verhältnis und ihre Zwischenstufen im Deutschen,Bern,J85 FSU Jena Sektion Sprachwissenschaft Wissenschaftsbereich Deutsch Abt. Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,4. von oben,zweimal verfügbar,303,
169,"Hermann, Eduard",1930,Das Futurum mit werden im Neu hochdeutschen,Berlin,Landesstelle für thüringische Mundartenforschung,E 006 Handbibliothek Dialektologie,links vorn,4. von oben,x,,"2x vorhanden, Original und Nachdruck"
170,"Hertel, L",1892,Über den Wert mundartlicher Untersuchungen,Greiz,J85 FSU Jena Sektion Sprachwissenschaft Wissenschaftsbereich Deutsch Abt. Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,4. von oben,x,11,"2x vorhanden, Original und Nachdruck"
171,"Heymann, W.",1909,Das bremische Plattdeutsch,Bremen,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,4. von oben,x,176,
172,"Hille, Hermann",1939,Die Mundart des nördlichen Harzvorlandes insbesondere des Huygebietes - mit 2 Karten,Wernigerode,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,4. von oben,einmal verfügbar,127,Forschungen zur Geschichte des Harzgebietes Band VII
173,"Hinderling, Robert und Weibel, Victor",1978,FIMFCHUSTIM - Festschrift für Stefan Sonderegger zum 50. Geburtstag,Bayreuth,J85 FSU Jena Sektion Sprachwissenschaft Wissenschaftsbereich Deutsch Abt. Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,4. von oben,einmal verfügbar,256,2x vorhanden; Bayreuther Beiträge zur Sprachwissenschaft 1
174,"Rowley, Anthony und Eroms, Hans-Werner",1980,Sprachliche Orientierung I. Untersuchungen zur Morphologie und Semantik der Richtungsadverbien in oberdeutschen Mundarten,Bayreuth,J85 FSU Jena Sektion Sprachwissenschaft Wissenschaftsbereich Deutsch Abt. Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,4. von oben,x,296,Bayreuther Beiträge zur Sprachwissenschaft - Dialektologie 1
175,"Hiersche, Rolf et al",1956,Aus der Arbeit an einem historischen Wörterbuch der sprachwissenschaftlichen Terminologie,Berlin,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,4. von oben,"einmal verfügbar, auch als E-Book",110,Sitzungsberichte der deutschen Akademie der Wissenschaften zu Berlin Jahrgang 1955 Nr. 3
176,"Hirsch, Anton",1971,Mundarten im Spessart,Aschaffenburg,Arbeitsstelle Thüringisches Wörterbuch,E 006 Handbibliothek Dialektologie,links vorn,4. von oben,x,196,
177,"Hoffmann, Lothar",1976,Kommunikationsmittel Fachsprache. Eine Einführung,Berlin,FSU Jena Sektion Sprachwissenschaft Wissenschaftsbereich Deutsch Abt. Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,4. von oben,"in verschiedenen Auflagen verfügbar, auch als E-Book",498,
178,"Hoffmann, L. und Piotrowski, R.G.",1979,Beiträge zur Sprachstatistik,Leipzig,J85 FSU Jena Sektion Sprachwissenschaft Wissenschaftsbereich Deutsch Abt. Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,4. von oben,einmal verfügbar,214,
179,"Hoffmann-Krayer, Eduard",1907,Ferndissimilation von R und L im Deutschen. Ein Beitrag zu den Prinzipien des Lautwandels,Basel,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,4. von oben,x,,
180,"Hoffmann, Lothar",1975,Fachsprachen und Sprachstatistik,Berlin,FSU Jena Sektion Sprachwissenschaft Wissenschaftsbereich Deutsch Abt. Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,4. von oben,"einmal verfügbar, auch als E-Book",324,
181,"Hofmann, Karl",1940,Mundartgliederung Niederhessens südlich von Kassel,Marburg,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,4. von oben,einmal verfügbar,71+Karten,Deutsche Dialektgeographie. Berichte und Studien über G. Wenkers Sprachatlas des Deutschen Reichs begründet von Ferdinand Wrede Hrsg. Walther Mitzka Heft XXXIX
182,"Holsten, Robert",1928,Sprachgrenzen im pommerschen Plattdeutsch,Leipzig,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,4. von oben,"einmal verfügbar, auch als E-Book",73+Karte,Form und Geist. Arbeiten zur germanischen Philologie Heft 8
183,"Hommer, Emil/ Kroh, Wilhelm",1915,Studien zur Dialektgeographie des Westerwaldes/ Beiträge zur Nassauischen Dialektgeographie,Marburg,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,4. von oben,in einer Zeitschrift verfügbar,381+Karten,Deutsche Dialektgeographie Hrsg. Wrede Heft IV
184,"Hornung, Maria und Roitinger, Franz",1950,Unsere Mundarten. Eine dialektkundliche Wanderung durch Österreich,Wien,FSU Jena Sektion Sprachwissenschaft Wissenschaftsbereich Deutsch Abt. Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,4. von oben,x,132,
185,"Hossfeld, Fr.",1905,Geschichte des Dorfes Achelstädt,Kranichfeld,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,4. von oben,x,175,
186,"Hotzenköcherle, Rudolf",1934,Die Mundart von Mutten. Laut- und Flexionslehre,Frauenfeld,J85 FSU Jena Sektion Sprachwissenschaft Wissenschaftsbereich Deutsch Abt. Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,4. von oben,einmal verfügbar,274,Beiträge zur Schweizerdeutschen Grammatik Hrsg. Bachmann XIX.
187,"Hrachovec, Herbert",1975,"Sonographische Untersuchungen zur Mundart des mittleren Pulkautales, N.Ö.",Wien,FSU Jena Sektion Sprachwissenschaft Wissenschaftsbereich Deutsch Abt. Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,4. von oben,x,250+Anhang,Dissertationen der Universität Wien 124
188,"Hutterer, Claus Jürgen et al",1987,Weststeirisches Wörterbuch. Grammatik und Wortschatz nach Sachgruppen,"Wien, Köln, Graz",J85 FSU Jena Sektion Sprachwissenschaft Wissenschaftsbereich Deutsch Abt. Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,4. von oben,x,643,Schriften zur deutschen Sprache in Österreich Band 13/14
189,"Hucke, Herman",1965,Thüringischer Dialektatlas,Berlin,FSU Jena Sektion Sprachwissenschaft Wissenschaftsbereich Deutsch Abt. Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,4. von oben,viermal vorhanden,204,Deutsche Akademie der Wissenschaften zu Berlin Veröffentlichungen des Instituts für deutsche Sprache und Literatur 27
190,"Hübner, Arhur",1925,Die Mundart der Heimat,Breslau,Landesstelle für thüringische Mundartenforschung,E 006 Handbibliothek Dialektologie,links vorn,4. von oben,einmal verfügbar,82,Der Heimatforscher Hrsg. Schoenichen 1. Band
191,"Imme, Theodor",1918,Die deutsche Soldatensprache der Gegenwart und ihr Humor,Dortmund,J85 FSU Jena Sektion Sprachwissenschaft Wissenschaftsbereich Deutsch Abt. Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,4. von oben,x,172,
192,"Insam, Matthias",1936,Der Lautstand des Burggrafenamtes von Meran,Leipzig,FSU Jena Sektion Sprachwissenschaft Wissenschaftsbereich Deutsch Abt. Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,4. von oben,einmal verfügbar,101,
193,"Irion, Bronislaus",1938,Die Mundart der deutschen Sprachinsel Illischestie und Umgebung,Dragojestie (Rumänien),J85 FSU Jena Sektion Sprachwissenschaft Wissenschaftsbereich Deutsch Abt. Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,4. von oben,x,90+Karten,
194,"Gierach, Erich",1944,Jahrbuch der deutschen Sprache,Leipzig,FSU Jena Sektion Sprachwissenschaft Wissenschaftsbereich Deutsch Abt. Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,4. von oben,verfügbar,238,
195,Staatliches Pädagogisches Institut Omsk (auf Russisch),1971,Fragen der Dialektologie und Linguistik,Omsk,FSU Jena Sektion Sprachwissenschaft Wissenschaftsbereich Deutsch Abt. Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,4. von oben,x,97,
196,Staatliches Pädagogisches Institut Omsk (auf Russisch),1979,Fragen der Dialektologie und Linguistik der deutschen Sprache,Omsk,J85 FSU Jena Sektion Sprachwissenschaft Wissenschaftsbereich Deutsch Abt. Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,4. von oben,x,155,
197,"Jungandreas, Wolfgang",1987,Zur Geschichte der schlesischen Mundart im Mittelalter,Stuttgart,J85 FSU Jena Sektion Sprachwissenschaft Wissenschaftsbereich Deutsch Abt. Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,4. von oben,x,586+Karten,
198,"Jungandreas, Wolfgang",1931,Texte zur Geschichte der schlesischen Mundarten,Breslau,FSU Jena Sektion Sprachwissenschaft Wissenschaftsbereich Deutsch Abt. Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,4. von oben,x,42,
199,"Jungandreas, Wolfgang",1947,Geschichte der deutschen und der englischen Sprache II,Göttingen,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,4. von oben,x,130,
200,"Jutz, Leo",1925,Die Mundart von Südvorarlberg und Liechtenstein,Heidelberg,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,4. von oben,einmal verfügbar,355,"Germanische Bibliothek Hrsg. Streitberg, I. Sammlung germanischer Elementar- und Handbücher, I. Reihe: Grammatiken, 15. Band"
201,"Jutz, Leo",1931,Die alemannischen Mundarten (Abriss der Lautverhältnisse),Halle (Saale),Landesstelle für thüringische Mundartenforschung,E 006 Handbibliothek Dialektologie,links vorn,4. von oben,einmal verfügbar,289+Karten,
202,"Kaiser, Albert",1910,Lautlehre der Mundart von Todtmoos-Schwarzenbach,Bonn,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,5. von oben,"einmal verfügbar, auch als E-Book",46,
203,"Kaiser, Kare",1930,Mundart und Schriftsprache. Versuch einer Wesensbestimmung in der Zeit zwischen Leibniz und Gottsched,Leipzig,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,5. von oben,einmal verfügbar,379,"Form und Geist. Arbeiten zur germanischen Philologie unter Mitwirkung von L. Magon, B. Markwardt und W. Stammler Hrsg. Lutz Mackensen Band 18"
204,"Kaiser, Heribert",1924,Die Mundart von Hof a. Saale. Vokalismus und Konsonantismus der Haupttonsilben und der wichtigsten nichthaupttonigen Silben,Hof a. d. Saale,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,5. von oben,x,58,
205,"Kamp, Klaus und Lindow, Wolfgang",1967,Das Plattdeutsche in Schleswig-Holstein. Eine Erhebung des Statistischen Landesamtes Schleswig-Holstein,Neumünster,FSU Jena Sektion Sprachwissenschaft Wissenschaftsbereich Deutsch Abt. Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,5. von oben,einmal verfügbar,81,
